altitude,density,u,v
1629.51362712275,1.0753551294989172,18.49395919440682,7.323933317645867
1635.54245700749,1.0747154656063784,18.45202751387764,7.408614592498387
1641.61843654387,1.074069082831095,18.19991302935528,7.314356214292302
1647.70454505797,1.0732835719575953,18.16181207995006,7.511946132673203
1653.9195512801,1.0725997836390369,18.219619922310084,7.734234790990812
1660.08013529438,1.0719237173095266,18.40803752958631,7.8859556148031995
1666.15768343887,1.0712989611198713,18.52559599388885,7.99886413563683
1672.23967792061,1.0705944618271186,18.487576892004565,8.027091260646355
1678.32836243379,1.0699291384562806,18.311623293764235,7.949466629583996
1684.38277476926,1.0693084379109825,18.04446528535031,7.867809419741931
1690.40012289156,1.0686137101903255,17.83332794008042,7.833533707545307
1696.43508298885,1.0679577844686035,17.711555275840244,7.74481981675457
1702.48884747634,1.0672588421755735,17.767309192615823,7.960051682770529
1708.64369736232,1.0666258351000732,17.91666600812177,8.087073757153696
1714.77891028249,1.065125955510209,18.022739933096442,8.168226749181796
1720.88596113372,1.063711866231437,17.971036802313943,8.157641561759105
1726.99634668973,1.0625362623625965,17.723232709264575,8.136471194696103
1733.00289468277,1.061297686170102,17.372095736796965,8.101187122521008
1738.88702289548,1.0601559979007462,17.08202231781943,8.150584695359829
1744.67492255243,1.0594994782351457,16.9846854157889,8.222160602154087
1750.49529312849,1.0580943419784656,17.081394064031958,8.327004210045972
1756.41885107597,1.0568736635957297,17.32003410088264,8.38345845627484
1762.34592490526,1.0559668688553987,17.200433583735062,8.401100404543373
1768.19291410365,1.0551886971272846,16.992926215577324,8.464611444885282
1773.99219426254,1.0545734789455683,16.653718265796577,8.552821216379149
1779.75418568961,1.0538854792519914,16.34771770818136,8.669257971817244
1785.46815527598,1.0529315326325568,16.19639028063974,8.771581425297015
1791.15778397866,1.0520603147040086,16.198813087416394,8.820978866288776
1796.77638679999,1.0511987556109117,16.250092699731614,8.817450439507553
1802.37052974037,1.05061322657258,16.217637333414515,8.715127058802452
1807.82878327325,1.04996824411843,16.013844761165597,8.55987780769232
1813.22803002433,1.0492537714526244,15.645917604174683,8.443440867365853
1818.64269868217,1.0485765220141856,15.221553533716827,8.43285567336191
1823.99162355491,1.0479859111723049,14.850508605239723,8.563406135932704
